,0
1479,UBBK5653
1480,UBBK5662
1481,UBBK5671
1482,UBBK5673
1483,UBBK5675
1484,UBBK5677
1485,UBBK5679
1486,UBBK5681
1487,UBBK5683
1488,UBBK5685
1489,UBBK5687
1490,UBBK5689
1491,UBBK5691
1492,UBBK5693
1493,UBBK5695
1494,UBBK5697
1495,UBBK5699
1496,UBBK5709
1497,UBBK5713
1498,UBBK5729
1499,UBBK5746
1500,UBBK5751
1501,UBBK5752
1502,UBBK5761
1503,UBBK5763
1504,UBBK5765
1505,UBBK5767
1506,UBBK5769
1507,UBBK5771
1508,UBBK5773
1509,UBBK5779
1510,UBBK5781
1511,UBBK5783
1512,UBBK5787
1513,UBBK5789
1514,UBBK5793
1515,UBBK5795
1516,UBBK5797
1517,UBBK5807
1518,UBBK5809
1519,UBBK5811
1520,UBBK5813
1521,UBBK5815
1522,UBBK5817
1523,UBBK5819
1524,UBBK5821
1525,UBBK5823
1526,UBBK5825
1527,UBBK5827
1528,UBBK5831
1529,UBBK5833
1530,UBBK5835
1531,UBBK5837
1532,UBBK5839
1533,UBBK5841
1534,UBBK5843
